Category	Question	AnswerA (correct)	AnswerB	AnswerC	AnswerD
Exercise History	Which ancient civilization is credited with creating some of the earliest organized athletic competitions?	Ancient Greece	Ancient Egypt	Ancient China	Ancient Rome
Exercise History	In the late 1800s, which piece of fitness equipment became popular in Victorian gyms?	Mechanical Horse	Dumbbells	Treadmill	Kettlebells
Exercise History	Which piece of equipment became popular in the 1960s as home fitness took off?	Stationary Bike	Resistance Bands	Rowing Machine	Stair Climber
Exercise History	Which fitness icon became famous in the 1980s for energetic workout videos, encouraging self-love, and wearing short shorts?	Richard Simmons	Jack LaLanne	Jane Fonda	Arnold Schwarzenegger
Exercise History	Which fitness instructor became a household name in the 1990s thanks to Tae Bo workout infomercials?	Billy Blanks	Richard Simmons	Jack LaLanne	Suzanne Somers
Exercise History	Spin classes became popular in gyms during which decade?	1990s	1980s	1970s	2000s
Exercise History	When was the first commercial gym a fee-based public exercise facility established?	1840s	1740s	1940s	1960s
Exercise History	Which 1980s workout video helped spark the aerobics boom and sold millions of copies?	Jane Fonda’s Workout	Sweatin’ to the Oldies	Tae Bo Basics	Buns of Steel
Exercise History	What colorful accessory became a fitness craze in the 1950s and again in the 1980s?	Hula Hoop	Resistance band	Medicine ball	Jump Rope
Exercise History	Which 1980s fitness trend often involved leg warmers and headbands?	Aerobics	Powerlifting	Pilates	CrossFit
Exercise History	Which fitness trend became popular through group classes set to upbeat music?	Zumba	Tai Chi	Pilates	Yoga
Exercise History	Who is considered the "father of modern bodybuilding"?	Eugen Sandow	Arnold Schwarzenegger	Joe Weider	Frank Zane
Exercise History	Which ancient culture practiced yoga as a form of physical and spiritual exercise?	Ancient India	Ancient China	Ancient Greece	Ancient Egypt
Exercise History	What exercise system was developed by Joseph Pilates in the early 1900s?	Pilates	Yoga	CrossFit	Aerobics
Exercise History	Which strongman popularized televised fitness in the 1950s?	Jack LaLanne	Arnold Schwarzenegger	Billy Blanks	Ronnie Coleman
Exercise History	Which decade did jogging become widely popular in the United States?	1970s	1950s	1980s	1990s
Exercise History	Who helped popularize aerobics in the 1960s with a best-selling book?	Kenneth Cooper	Richard Simmons	Jane Fonda	Billy Blanks
Exercise History	Which ancient Greek event combined running, jumping, and throwing?	Pentathlon	Decathlon	Marathon	Triathlon
Exercise History	What early 1900s fitness movement focused on natural movement and outdoor exercise?	Physical Culture	Powerlifting	CrossFit	Bodybuilding
Exercise History	Which exercise trend focuses on high-intensity functional movements and started in the early 2000s?	CrossFit	Zumba	Pilates	Aerobics
Exercise History	What was a common training method used by Roman soldiers to stay fit?	Marching with heavy gear	Yoga	Swimming	Stretching routines
Fitness	What intense NBC reality competition series challenges its athletic competitors to ascend The Warped Wall and traverse through other obstacles before facing Mount Midoriyama?	American Ninja Warrior	American Gladiators	Ultimate Beastmaster	The Amazing Race
Fitness	Which DC superhero gives his name to an exercise that involves lying face down and lifting the chest and legs off the ground simultaneously?	Superman	Batman	Spiderman	The Flash
Fitness	A great workout can make you feel great physically and mentally, in part because of what “feel good” hormones that get released by your nervous system?	Endorphins	Cortisol	Melatonin	Adrenaline
Fitness	HIIT is typically a cardiovascular exercise strategy alternating periods of intense exercise with recovery. What does HIIT stand for?	High-Intensity Interval Training	Hello I’m Inside Traveling	High-Interval Intensity Training	High-Intensity Interlude Training
Fitness	What six-letter word names both a seed company and an exercise that combines a squat, a pushup, and a jump in the air?	Burpee	Push-up	Jumping Jacks	Sit ups
Fitness	What isometric core exercise involves assuming the push-up position, and holding that position for a prescribed length of time?	Plank	Push-up	Hollow Hold	Wall sit
Fitness	The side-straddle hop is the U.S. military's name for what basic warm-up exercise that kicks the legs apart while doing an overhead clap?	Jumping Jacks	Squats	Straddle Jump	Tuck Jump
Fitness	Complete with a balance board that could also take a user’s weight, what mid-2000s Nintendo video game console released the first popular “exergames” ?	Wii	DS	WiiU	Switch
Fitness	Treating an urban landscape as an obstacle course is pretty much the point of what sport that gets its name from the French for "obstacle"?	Parkour	Soccer	Rugby	Fencing
Fitness	Inspired by a long-distance event in the 1896 Summer Olympics, what famous American race takes place annually in Massachusetts in April on Patriot's Day?	Boston Marathon	Chicago Marathon	Tokyo Marathon	Springfield Marathon
Wisconsin	What is the name of the satire news station created by two University of Wisconsin Madison students in 1988?	The Onion	FOX NEWS	The Red Hearing	NewsBiscuit
Wisconsin	The world's largest wooly mammoth was found in which county?	Kenosha	Milwaukee	Madison	Greendale
Wisconsin	In Wisconsin, D&D was first created in which city?	Lake Geneva	Milwaukee	Stillwell	Lake Michigan
Wisconsin	What is our state animal?	Badger	Panther	Cow	Emu
Wisconsin	Why is the badger our state animal?	Because of how Miners dug holes for themselves to keep warm and sleep while travelling in the 1800s	Because Wisconsin is known for its honey production since 1836	It just is.	It was used as an insult in the 1800s, but became known for applauding resilience later on.
Wisconsin	Which state produces the most milk?	Wisconsin	California	New Mexico	Texas
Wisconsin	The first circus in the US was in which state and city?	Delavan, Wisconsin	Las Vegas, Nevada	New York, New York	Milwaukee, Wisconsin
Wisconsin	Hacking was born in Wisconsin. What was the name of the group responsible for this?	The 414's	The Consortium	Wisconsin Hackers Alliance	Wisconsin Tech Guys
Wisconsin	What famous architect was born in Wisconsin? 	Frank Lloyd Wright	Frank Gehry	Frederick Law Olmsted	Louis Sullivan
Wisconsin	What major frozen custard brand started in Wisconsin?	Kopp’s	Dairy Queen	Cold Stone Creamery	Baskin-Robbins
Wisconsin	What Wisconsin city is known as the birthplace of the Harley-Davidson motorcycle company?	Milwaukee	Madison	Green Bay	Kenosha
Wisconsin	What university system is the flagship public university in Madison part of?	University of Wisconsin System	Midwest State University	Great Lakes University System	Northern Education Alliance
Wisconsin	What famous waterpark destination is located in Wisconsin Dells?	Kalahari Resorts	SeaWorld	Disney Water Park	Great Wolf Lodge (original location)
Wisconsin	What Wisconsin city is known as “The Water City” due to its many lakes?	Madison	Milwaukee	Eau Claire	Green Bay
