Category	Question	AnswerA (correct)	AnswerB	AnswerC	AnswerD
Exercise History	Which ancient civilization is credited with creating some of the earliest organized athletic competitions?	Ancient Greece	Ancient Egypt	Ancient China	Ancient Rome
Exercise History	In the late 1800s, which piece of fitness equipment became popular in Victorian gyms?	Mechanical Horse	Dumbbells	Treadmill	Kettlebells
Exercise History	Which piece of equipment became popular in the 1960s as home fitness took off?	Stationary bike	Resistance bands	Rowing machine	Stair climber
Exercise History	Which fitness icon became famous in the 1980s for energetic workout videos, encouraging self-love, and wearing short shorts?	Richard Simmons	Jack LaLanne	Jane Fonda	Arnold Schwarzenegger
Exercise History	Which fitness instructor became a household name in the 1990s thanks to Tae Bo workout infomercials?	Billy Blanks	Richard Simmons	Jack LaLanne	Suzanne Somers
Exercise History	Spin classes became popular in gyms during which decade?	1990s	1980s	1970s	2000s
Exercise History	When was the first commercial gym a fee-based public exercise facility established?	1840s	1740s	1940s	1960s
Exercise History	Which 1980s workout video helped spark the aerobics boom and sold millions of copies?	 Jane Fonda’s Workout	Sweatin’ to the Oldies	Tae Bo Basics	Buns of Steel
Exercise History	What colorful accessory became a fitness craze in the 1950s and again in the 1980s?	Hula hoop	Resistance band	Medicine ball	Jump rope
Exercise History	Which 1980s fitness trend often involved leg warmers and headbands?	Aerobics	Powerlifting	Pilates	CrossFit
Exercise History	Which fitness trend became popular through group classes set to upbeat music?	Zumba	Tai Chi	Pilates	Yoga
Fitness	What six-letter word names both a seed company and an exercise that combines a squat, a pushup, and a jump in the air?	Burpee	Push-up	Jumping Jacks	Sit ups
Fitness	What isometric core exercise involves assuming the push-up position, and holding that position for a prescribed length of time?	Plank	Push-up	Hollow Hold	Wall sit
Fitness	The side-straddle hop is the U.S. military's name for what basic warm-up exercise that kicks the legs apart while doing an overhead clap?	Jumping Jacks	Squats	Straddle Jump	Tuck Jump
Fitness	Complete with a balance board that could also take a user’s weight, what mid-2000s Nintendo video game console released the first popular “exergames” ?	Wii	DS	WiiU	Switch
Fitness	Treating an urban landscape as an obstacle course is pretty much the point of what sport that gets its name from the French for "obstacle"?	Parkour	Soccer	Rugby	Fencing
Fitness	Celebrated for its ability to improve athletic capacity and glucose metabolism, HIIT is typically a cardiovascular exercise strategy alternating periods of intense exercise with recovery. What does HIIT stand for?	High-Intensity Interval Training	Hello I’m Inside Traveling	High-Interval Intensity Training	High-Intensity Interlude Training
Fitness	A great workout can make you feel great physically and mentally, in part because of what “feel good” hormones that get released by your nervous system?	Endorphins	Cortisol	Melatonin	Adrenaline
Fitness	Which DC superhero gives his name to an exercise that involves lying face down and lifting the chest and legs off the ground simultaneously?	Superman	Batman	Spiderman	The Flash
Fitness	Debuting in the U.S. in December 2009, what intense NBC reality competition series challenges its athletic competitors to ascend The Warped Wall and traverse through other obstacles before facing Mount Midoriyama?	American Ninja Warrior	American Gladiators	Ultimate Beastmaster	The Amazing Race
Fitness	Inspired by a long-distance event in the 1896 Summer Olympics, what famous American race takes place annually in Massachusetts in April on Patriot's Day?	Boston Marathon	Chicago Marathon	Tokyo Marathon	Springfield Marathon
Wisconsin	What is the name of the satire news station created by two University of Wisconsin Madison students in 1988?	The Onion	FOX NEWS	The Red Hearing	NewsBiscuit
Wisconsin	The world's largest wooly mammoth was found in which county?	Kenosha	Milwaukee	Madison	Greendale
Wisconsin	In Wisconsin, D&D was first created in which city?	Lake Geneva	Milwaukee	Stillwell	Lake Michigan
Wisconsin	What is our state animal?	Badger	Panther	Cow	Emu
Wisconsin	Why is the badger our state animal?	Because of how Miners dug holes for themselves to keep warm and sleep while travelling in the 1800s	Because Wisconsin is known for its honey production since 1836	It just is.	It was used as an insult in the 1800s, but became known for applauding resilience later on.
Wisconsin	Which state produces the most milk?	Wisconsin	California	New Mexico	Texas
Wisconsin	The first circus in the US was in which state and city?	Delavan, Wisconsin	Las Vegas, Nevada	New York, New York	Milwaukee, Wisconsin
Wisconsin	Needs To Complete				
Wisconsin	Needs To Complete				
Wisconsin	Needs To Complete				
Popculture 	Who played Iron Man in the Marvel Cinematic Universe?	Robert Downey Jr.	Chris Evans	Chris Hemsworth	Mark Ruffalo
Popculture 	What TV show features the characters Eleven, Mike, and Dustin?	Stranger Things	The Umbrella Academy	Dark	The Walking Dead
Popculture 	Which singer is known as the “Queen of Pop”?	Madonna	Lady Gaga	Beyoncé	Britney Spears
Popculture 	What fictional city is Batman known to protect?	Gotham City	Central City	Star City	Metropolis
Popculture 	Which movie series includes the quote, “May the Force be with you”?	Star Wars	Star Trek	Guardians of the Galaxy	Dune
Popculture 	Who is the main character in the video game series The Legend of Zelda?	Link	Ganondorf	Zelda	Epona
Popculture 	What animated movie features a snowman named Olaf?	Frozen	Tangled	Moana	Ice Age
Popculture 	Which artist released the album 1989?	Taylor Swift	Katy Perry	Ariana Grande	Selena Gomez
Popculture 	What Netflix show is about a deadly competition with childhood games?	Squid Game	Black Mirror	Money Heist	Alice in Borderland
Popculture 	Who lives in a pineapple under the sea?	SpongeBob SquarePants	Patrick Star	Squidward Tentacles	Mr. Krabs
Videogame	What year was Minecraft officially released?	2011	2009	2013	2015
Videogame	What is the name of the main protagonist in The Legend of Zelda series?	Link	Zelda	Ganon	Epona
Videogame	Which company developed Fortnite?	Epic Games	Activision	Ubisoft	Electronic Arts
Videogame	What is the best-selling video game of all time?	Minecraft	Grand Theft Auto V	Tetris	Wii Sports
Videogame	In Super Mario Bros., what is Mario’s brother’s name?	Luigi	Wario	Bowser	Yoshi
Videogame	What type of game is Call of Duty primarily known as?	First-person shooter	Puzzle game	Racing simulator	Turn-based strategy
Videogame	Which console was released first?	PlayStation 1	Xbox	Nintendo Wii	PlayStation 4
Videogame	In Among Us, what is the role of the player trying to eliminate others secretly?	Impostor	Crewmate	Engineer	Guardian
Videogame	What fictional city is Grand Theft Auto V set in?	Los Santos	Liberty City	Vice City	San Fierro
Videogame	Which company created the character Sonic the Hedgehog?	Sega	Nintendo	Capcom	Konami
